project,mojofm-wca-uem,mojofm-wca-uenm,mojofm-limbo,mojofm-acdc
airavata-django-portal,94.49,94.49,100,78.74
airflow,95.48,95.48,48.65,59.85
allura,19.64,20.93,73.77,67.62
ansible,8.27,9.8,46.9,43.22
astroquery,92.27,92.27,85.59,77.33
bitbake,19.63,19.02,78.18,64.81
boto,95.87,95.87,65.48,67.06
calibre,94.81,94.81,64.39,70.61
cassandra-dtest,98.48,98.48,100,82.31
celery,28.07,25.96,48.41,62.72
cerbero,43.62,37.23,86.52,72.83
certbot,89.14,89.14,81.65,85.98
ChatterBot,65.85,45.12,55,92.68
cheetah,71.43,71.43,89.58,85.11
cherrypy,38.55,37.35,53.85,75.29
cobbler,51.69,39.33,80.68,81.91
codespeed,66.67,66.67,100,68
deluge,98.77,98.77,83.76,61.21
django,98.48,98.48,80.26,63.36
django-rest-framework,96.69,96.69,77.88,47.06
docutils,59.34,36.81,80,76.63
dymos,81.5,81.5,58.33,78.65
fail2ban,52.94,59.09,51.43,94.29
fluo-muchos,100,100,100,100
gajim,40.49,36.59,48.73,73.76
gensim,79.05,79.05,44.9,87.25
glance,52.63,54.74,47.78,86.46
gpodder,75,75,48.72,79.07
gramps,98.33,98.33,56.86,63.68
gunicorn,90.67,90.67,57.14,69.86
home-assistant,98.97,98.97,48.89,57.35
horizon,91.38,91.38,80.58,72.34
infrastructure-puppet,51.35,56.76,50,74.29
jumpgate,84.88,84.88,45,86.75
KaraKara,65.71,58.57,56.58,83.78
keras,46.54,39.62,100,85.71
kibble,50,50,50,100
libcloud,44.31,35.03,57.87,80.21
linkchecker,93.77,93.77,61.29,79.68
matplotlib,25.98,16.77,48.94,68.43
mitmproxy,89.13,89.13,50.42,54.06
models,79.46,79.46,72.74,73.17
mwlib,86.46,86.46,69.23,58.7
mypaint,93.02,93.02,45.83,94.53
networkx,34.88,37.21,33.33,84.88
nltk,50,50,37.5,133.33
nose,90.95,90.95,76.14,64.97
offlineimap,47.83,39.13,60.42,85.42
OpenMDAO-Framework,94.21,94.21,48.47,63.58
pandas,52.99,52.24,25.6,50.79
picard,81.07,81.07,47.8,70.12
pip,75.46,75.84,50,82.68
pipenv,83.33,83.33,50.2,81.64
pitivi,41.77,39.74,65.85,67.07
pitivi-pitivi,36.36,35.9,65.85,91.57
poky,92.45,92.45,48.29,60.2
PyChecker,82.67,82.67,69.01,98.65
pygments-main,85.71,85.71,71.43,62.5
pylint,86,86,54.79,76.92
pyramid,28.89,29.17,74,85.92
pyspider,92.22,92.22,64.77,78.16
pytest,28.92,27.71,50,45.88
pythondotorg,87.5,87.5,48.26,76.97
python-fire,50,64.71,100,100
python-patterns,40.54,40.54,44.74,100
pytorch,94.61,94.61,63.99,83.79
pyunit-1.4.1,92.86,92.86,100,93.75
pywikibot,32.57,31.19,52.47,80.7
ranger,86.81,86.81,43.02,71.43
reviewboard,95.95,95.95,47.93,72.49
sage,96.65,96.65,60.77,76.99
scikit-image,98.07,98.07,51.1,55.9
scikit-learn,20.8,16.05,100,80.41
scipy,94.2,94.2,74.4,50.56
scrapy,45.91,40.08,61.29,78.66
sentry,97.01,97.01,70.71,78.5
shinken,39.15,35.59,73.57,87.54
softlayer-python,52.63,41.8,99.4,66.96
sphinx,37.21,33.33,51.33,65.77
sqlalchemy,33.33,31.76,67.82,81.03
sqlmap,27.59,27.59,58.18,86.17
sqlparse,61.54,61.54,80,88
stewbot,40,42.86,49.49,83.65
sugar,44.23,29.49,52.98,73.2
Sunflower,21.18,22.35,49.45,81.18
sympy,19.98,15.43,69.56,71.65
tashi,85.56,85.56,100,79.55
tensorflow,98.18,98.18,82.84,65.12
Theano,35.14,28.65,100,81.32
the-blue-alliance,98.29,98.29,83.55,73.58
thefuck,66.67,63.12,62.77,97.3
tornado,39.08,32.18,54.76,100
trac,33.22,29.72,58.39,70.67
tryton,88.68,88.68,100,81.37
trytond,42.05,32.31,83.25,69.9
twisted,97.73,97.73,58.07,61.29
voc,93.75,95.59,98.56,100
web2py,91.7,91.7,61.86,75
weblate,96.53,96.53,50,79.8
werkzeug,45.6,41.6,63.03,61.67
WikiApiary,85.37,63.41,100,100
XX-Net,89.6,89.6,75.03,86.26
Zope,92.42,92.42,83.53,66.01
zulip,96.8,96.8,73.88,75.3
average,67.99,66.24,66.2,76.73
