project,CCOR,BCOR,CCFOR,BCFOR,CPCO,BPCO,chacmtfiles,bugcmtfiles,chacmters,bugcmters
airavata-django-portal,4.901098901,0,1.626373626,0,0.107162826,0,182,0,7,0
airflow,10.46171429,6.766081871,6.214857143,5.104093567,0.017989352,0.015660581,875,855,626,493
allura,25.37222222,23.9443299,5.698148148,4.989690722,0.066074956,0.075564805,540,485,61,54
ansible,9.482083863,6.437217945,4.756543837,3.776214494,0.00338564,0.00231279,3935,3767,2597,1846
astroquery,14.82113821,1.672727273,3.417344173,1.345454545,0.016046555,0.022618803,369,55,85,19
bitbake,26.56170213,9.528,5.293617021,3.256,0.045002388,0.040093482,235,125,205,78
boto,11.62146893,3.118811881,4.881355932,1.95049505,0.0129683,0.012290497,708,202,566,89
calibre,27.12546677,6.514211886,2.262882748,1.215762274,0.006425893,0.010520414,1339,774,137,17
cassandra-dtest,30.45,4.635416667,9.064285714,2.895833333,0.060882805,0.036714727,140,96,84,36
celery,33.8445122,7.627118644,4.798780488,3.68220339,0.018755581,0.020580108,328,236,440,207
cerbero,16.38095238,1,3,1,0.108403455,0,105,1,35,1
certbot,15.65923567,8.388888889,5.050955414,4.4,0.028796739,0.027533626,314,270,166,125
ChatterBot,13.3553719,1.5,1.58677686,1.125,0.037889732,0.013852814,121,24,35,5
cheetah,5.644444444,0,1.622222222,0,0.075959226,0,45,0,13,0
cherrypy,47.76146789,10.3814433,7.733944954,3.072164948,0.039338586,0.041118249,109,97,86,36
cobbler,49.91304348,3.441176471,9.07826087,1.985294118,0.053396639,0.05469124,115,68,180,27
codespeed,8.772727273,2,2.613636364,1.5,0.128287096,0.155613276,44,14,19,6
deluge,22.89399293,4,2.96819788,1.813333333,0.034082149,0.041867442,283,150,50,26
django,18.11827479,13.4910123,8.345931525,7.197256386,0.005459532,0.005872539,2249,2114,1244,1082
django-rest-framework,31.85616438,10.70769231,10.71917808,5.484615385,0.048089766,0.038336156,146,130,477,185
docutils,15.88345865,1.277777778,2.992481203,1.055555556,0.053739524,0.011111111,266,18,26,6
dymos,4.228070175,3.738938053,1.578947368,1.455752212,0.062426497,0.064990436,228,226,8,7
fail2ban,35.1,3.422222222,4.3875,1.711111111,0.066405814,0.051072397,80,45,33,8
fluo-muchos,6.111111111,5,2.111111111,1.555555556,0.372354497,0.555555556,9,9,4,2
gajim,17.57407407,3.221052632,2.453703704,1.4,0.041290768,0.021295044,216,95,34,9
gensim,24.5483871,12.22131148,10.65322581,8.163934426,0.048815763,0.042647071,124,122,284,189
glance,34.24761905,7.482352941,3.628571429,1.870588235,0.040872478,0.061003817,105,85,47,11
gpodder,34.84466019,2.567901235,5.038834951,1.765432099,0.052392998,0.052181785,103,81,96,12
gramps,14.49340369,2.023622047,4.98944591,1.519685039,0.013447839,0.008225197,1137,381,103,26
gunicorn,16,8.216666667,5.439716312,3.533333333,0.071281502,0.056703368,141,60,223,69
home-assistant,9.774916944,7.918444166,3.894518272,3.700543706,0.003187084,0.002944771,2408,2391,1118,1033
horizon,10.76829268,6.686643836,7.118625277,5.130136986,0.014012468,0.014143084,902,584,565,370
infrastructure-puppet,5.765432099,0,1.530864198,0,0.048635292,0,81,0,16,0
ipython,28.9047619,3.075675676,8.181547619,2.291891892,0.016842206,0.013106119,336,185,451,96
jumpgate,5.195876289,1.142857143,2.175257732,1.095238095,0.093755818,0.0375,97,21,19,3
KaraKara,15.43269231,0,1.365384615,0,0.122749315,0,104,0,4,0
keras,34.13888889,15.15340909,13.47222222,10.39772727,0.032687478,0.033174774,180,176,683,570
kibble,5,1,1,1,0,0,70,1,1,1
libcloud,10.53120464,4.498194946,3.432510885,2.833935018,0.031217785,0.034840811,689,277,332,231
linkchecker,21.79710145,1,1.54589372,1,0.184922243,0,207,1,3,1
matplotlib,32.99870801,7.884210526,8.748062016,4.029473684,0.023900044,0.017262263,774,475,742,185
mitmproxy,11.04932735,2.698113208,2.838565022,1.929245283,0.037353411,0.015343407,446,212,89,37
models,3.038047974,2.811394892,1.681555004,1.514734774,0.007024187,0.013253263,1209,509,207,89
mwlib,23.5033557,2.357142857,3.657718121,1.404761905,0.030950525,0.067236455,149,42,29,8
mypaint,39.82481752,4.919191919,5.284671533,1.808080808,0.106732547,0.041859165,137,99,62,19
networkx,14.96421846,5.931392931,6.118644068,3.251559252,0.009610424,0.008571168,531,481,303,153
nltk,33.5494186,2.543307087,7.395348837,1.653543307,0.012867184,0.015096407,344,127,282,51
nose,6.135135135,1.933333333,2.192567568,1.506666667,0.029791412,0.026138215,296,75,86,22
offlineimap,33.06557377,3.24,7.573770492,1.8,0.0797597,0.035288454,61,25,114,17
OpenMDAO-Framework,27.67576792,1.272727273,4.462457338,1.151515152,0.036929918,0.026530612,586,33,58,7
pandas,30.1503856,22.06225681,10.52570694,9.431906615,0.035394647,0.028710685,778,771,1227,1014
picard,38.73595506,3.333333333,5.960674157,1.714285714,0.043204237,0.059030728,178,63,71,13
pip,9.423076923,3.878787879,3.543956044,3.037878788,0.023859692,0.025871439,364,132,205,96
pipenv,6.462078652,3.5,1.674157303,1.342105263,0.168959795,0.160954159,712,152,134,27
