project,sub-space_count,same_isolated_count,0~10%,10%~20%,20%~30%,30%~40%,40~50%,50%~60%,60%~70%,70%~80%,80%-90%,90%-100%
airavata-django-portal,268,194,0,1,1,1,1,3,1,6,2,58
airflow,897,497,8,6,5,16,24,9,21,27,33,251
allura,543,349,3,6,12,13,5,11,10,19,17,98
ansible,4097,3083,82,49,29,82,28,20,28,40,47,609
astroquery,377,234,3,0,2,4,1,1,3,8,5,116
bitbake,239,130,4,7,5,13,10,17,2,8,3,40
boto,723,361,2,5,13,24,34,22,30,33,42,157
calibre,1352,335,45,61,42,49,64,86,67,83,81,439
cassandra-dtest,147,112,2,1,0,0,0,2,1,1,1,27
celery,344,175,14,13,11,11,13,13,16,10,14,54
cerbero,110,53,1,2,1,4,1,1,6,6,4,31
certbot,320,199,3,3,5,2,6,4,4,7,9,78
ChatterBot,132,94,1,1,0,1,1,1,1,2,1,29
cheetah,63,18,0,0,3,2,5,1,1,3,5,25
cherrypy,109,63,5,2,3,4,5,3,1,4,3,16
cobbler,131,86,4,9,8,4,2,2,0,4,1,11
codespeed,46,29,0,0,0,0,0,3,0,0,0,14
deluge,292,115,6,11,11,11,14,15,17,18,7,67
django,2470,1655,14,19,8,26,24,31,44,77,79,493
django-rest-framework,149,81,4,1,2,6,3,8,6,13,7,18
docutils,271,202,4,5,5,4,0,9,3,5,6,28
dymos,260,145,1,1,1,0,1,5,1,2,5,98
fail2ban,82,17,0,2,2,4,8,4,5,4,6,30
fluo-muchos,9,5,0,0,0,0,0,0,1,0,0,3
gajim,231,52,29,21,12,17,10,16,12,16,6,40
gensim,125,36,1,2,3,3,5,11,2,6,3,53
glance,106,56,1,3,0,3,3,3,0,5,4,28
gpodder,105,55,9,6,5,6,4,2,1,3,0,14
gramps,1148,317,47,30,32,38,62,46,56,95,54,371
gunicorn,148,114,1,1,5,2,2,0,6,4,2,11
home-assistant,2537,1708,43,34,16,49,23,34,55,53,67,455
horizon,1018,570,7,12,13,21,20,18,12,24,26,295
infrastructure-puppet,88,65,4,0,0,1,0,0,1,0,1,16
ipython,350,191,3,8,9,5,10,11,8,22,18,65
jumpgate,116,62,0,0,0,3,1,0,0,1,3,46
KaraKara,105,58,0,3,0,0,3,2,1,1,7,30
keras,183,106,2,1,2,2,3,2,3,7,6,49
kibble,70,66,2,0,0,0,0,0,0,0,0,2
libcloud,698,478,3,3,2,4,6,5,5,11,15,166
linkchecker,278,123,4,5,6,8,9,12,10,12,8,81
matplotlib,860,695,7,5,5,12,6,16,18,13,12,71
mitmproxy,537,324,13,9,4,11,15,11,15,21,15,99
models,1530,742,16,26,23,31,34,25,19,40,34,540
mwlib,149,83,3,2,6,8,4,3,6,3,6,25
mypaint,138,17,3,9,9,6,5,5,10,15,12,47
networkx,540,454,10,3,0,6,0,4,1,2,0,60
nltk,345,261,18,21,1,40,1,0,0,1,0,2
nose,333,258,2,3,0,3,2,5,6,5,5,44
offlineimap,61,21,2,3,5,1,4,2,2,2,0,19
OpenMDAO-Framework,635,355,9,8,7,12,15,6,18,28,30,147
pandas,804,666,44,24,7,19,6,0,0,6,8,24
picard,179,48,5,10,4,5,8,8,8,13,7,63
pip,456,238,20,10,5,10,6,20,14,13,11,109
pipenv,818,191,9,12,7,10,18,34,17,51,55,414
pitivi,97,36,7,6,6,5,8,8,1,4,2,14
pitivi-pitivi,97,36,6,8,5,8,4,8,4,4,4,10
poky,547,327,9,23,11,17,13,22,10,17,8,90
PyChecker,195,139,2,2,3,4,2,2,2,6,4,29
pygments-main,263,253,4,2,0,2,0,0,0,0,0,2
pylint,603,512,5,9,0,8,1,2,2,8,6,50
pyramid,495,336,10,6,3,5,6,9,12,5,2,101
pyspider,103,35,0,2,2,3,2,11,2,6,1,39
pytest,172,121,5,6,8,2,3,4,2,2,0,19
pythondotorg,349,265,0,2,1,3,3,0,1,2,5,67
python-fire,45,27,0,0,0,0,0,0,2,1,0,15
